Order_ID,Date,Region,State,City,Customer_ID,Customer_Name,Customer_Segment,Sales_Rep_ID,Sales_Rep_Name,Manager_Name,Product_Category,Sub_Category,Product_Name,Product_SKU,Units_Sold,Unit_Price,Discount_%,COGS,Revenue,Profit,Profit_Margin_%,Payment_Mode,Delivery_Days,Return_Flag,Customer_Rating,Channel,Quarter,Month_Name,Year
ORD-10611,2021-01-04,South,Karnataka,Bangalore,CUST-8904,Customer 218,Enterprise,REP-17,Rep Name 24,Manager 2,Electronics,Laptops,UltraSlim 13,ELE-LAP-994,127,43.56,13.87,-3285.55,-4765.28,-1479.7299999999996,31.05,Bank Transfer,3,1,4,Offline,Q1,Jan,2021
ORD-14967,2021-01-04,South,Karnataka,Bangalore,CUST-6461,Customer 264,B2B,REP-14,Rep Name 31,Manager 1,Electronics,Phones,X-Phone 12,ELE-PHO-586,13,456.62,12.86,3688.32,5172.86,1484.53,28.7,UPI,3,0,3,Partner,Q1,Jan,2021
ORD-6983,2021-01-05,West,Gujarat,Ahmedabad,CUST-4961,Customer 202,B2B,REP-41,Rep Name 12,Manager 2,Electronics,Phones,S-Galaxy 22,ELE-PHO-513,7,801.98,11.53,3731.68,4966.75,1235.07,24.87,Cash,4,0,4,Online,Q1,Jan,2021
ORD-9993,2021-01-05,South,Karnataka,Bangalore,CUST-8364,Customer 384,Enterprise,REP-35,Rep Name 11,Manager 1,Office Supplies,Binders,Archive Box Pack,OFF-BIN-196,57,231.11,29.24,7130.01,9321.1,2191.09,23.51,Cash,4,0,3,Online,Q1,Jan,2021
ORD-11510,2021-01-05,East,Odisha,Bhubaneswar,CUST-4090,Customer 397,Enterprise,REP-20,Rep Name 33,Manager 1,Furniture,Desks,Wooden Classic,FUR-DES-319,109,467.95,10.77,20496.66,45512.32,25015.66,54.96,Cash,3,0,5,Online,Q1,Jan,2021
ORD-11844,2021-01-05,Central,Madhya Pradesh,Indore,CUST-3909,Customer 442,Enterprise,REP-19,Rep Name 24,Manager 2,Electronics,Laptops,GamerZ 15,ELE-LAP-352,50,437.14,15.8,14842.3,18402.83,3560.53,19.35,Bank Transfer,10,0,3,Partner,Q1,Jan,2021
ORD-2515,2021-01-06,South,Tamil Nadu,Chennai,CUST-7299,Customer 382,Enterprise,REP-12,Rep Name 33,Manager 1,Furniture,Desks,Wooden Classic,FUR-DES-380,140,1240.66,13.45,81382.01,150330.33,68948.32,45.86,Credit Card,13,0,5,Partner,Q1,Jan,2021
ORD-2976,2021-01-06,South,Tamil Nadu,Chennai,CUST-1552,Customer 202,Enterprise,REP-32,Rep Name 37,Manager 2,Furniture,Desks,Standing Pro,FUR-DES-445,167,1245.18,17.9,110552.26,170723.63,60171.37,35.24,Cash,2,0,4,Online,Q1,Jan,2021
ORD-9914,2021-01-06,North,Punjab,Ludhiana,CUST-4128,Customer 54,B2C,REP-47,Rep Name 11,Manager 4,Electronics,Laptops,ProBook X1,ELE-LAP-119,8,903.67,2.44,5038.23,7052.77,2014.54,28.56,UPI,12,0,4,Partner,Q1,Jan,2021
ORD-12644,2021-01-07,East,West Bengal,Kolkata,CUST-1304,Customer 384,B2B,REP-24,Rep Name 11,Manager 5,Office Supplies,Binders,Ring Binder Set,OFF-BIN-823,12,948.85,9.87,5861.76,10261.86,4400.1,42.88,UPI,5,1,5,Partner,Q1,Jan,2021
ORD-2545,2021-01-08,East,West Bengal,Kolkata,CUST-2276,Customer 148,B2C,REP-37,Rep Name 19,Manager 4,Office Supplies,Paper,A4 Ream Premium,OFF-PAP-469,10,46.24,12.3,225.75,405.54,179.79,44.33,Cash,5,0,3,Partner,Q1,Jan,2021
ORD-11552,2021-01-08,North,Punjab,Ludhiana,CUST-2126,Customer 295,B2C,REP-36,Rep Name 6,Manager 1,Office Supplies,Paper,Legal Size Ream,OFF-PAP-353,3,1452.45,15.42,2842.06,3685.41,843.36,22.88,Cash,7,0,4,Partner,Q1,Jan,2021
ORD-5759,2021-01-09,North,Punjab,Ludhiana,CUST-6229,Customer 381,Enterprise,REP-48,Rep Name 3,Manager 5,Office Supplies,Binders,Archive Box Pack,OFF-BIN-494,76,838.38,28.5,36365.71,45558.68,9192.96,20.18,Cash,7,0,5,Partner,Q1,Jan,2021
ORD-6739,2021-01-09,South,Tamil Nadu,Chennai,CUST-2779,Customer 210,B2C,REP-21,Rep Name 15,Manager 1,Office Supplies,Binders,Archive Box Pack,OFF-BIN-844,4,412.84,10.64,894.25,1475.68,581.43,39.4,Cash,9,1,4,Partner,Q1,Jan,2021
ORD-8728,2021-01-09,North,Delhi,New Delhi,CUST-3479,Customer 428,Enterprise,REP-30,Rep Name 30,Manager 4,Furniture,Chairs,Office Standard,FUR-CHA-316,149,1047.19,14.44,107490.35,133497.66,26007.3,19.48,Credit Card,5,0,3,Offline,Q1,Jan,2021
ORD-9322,2021-01-09,Central,Chhattisgarh,Raipur,CUST-1862,Customer 37,B2C,REP-11,Rep Name 14,Manager 5,Furniture,Chairs,Exec Leather,FUR-CHA-797,7,557.94,18.25,2546.94,3192.72,645.78,20.23,UPI,4,0,5,Partner,Q1,Jan,2021
ORD-10949,2021-01-09,East,West Bengal,Kolkata,CUST-7272,Customer 39,B2B,REP-14,Rep Name 17,Manager 4,Office Supplies,Binders,Ring Binder Set,OFF-BIN-773,4,1168.13,4.95,2232.66,4441,2208.34,49.73,UPI,4,0,2,Online,Q1,Jan,2021
ORD-3674,2021-01-10,Central,Chhattisgarh,Raipur,CUST-1938,Customer 129,Enterprise,REP-18,Rep Name 18,Manager 5,Furniture,Desks,Standing Pro,FUR-DES-221,113,175.04,18.74,10666.17,16073.29,5407.12,33.64,Credit Card,2,0,3,Online,Q1,Jan,2021
ORD-9250,2021-01-10,Central,Madhya Pradesh,Indore,CUST-7948,Customer 62,,REP-27,Rep Name 31,Manager 4,Electronics,Phones,S-Galaxy 22,ELE-PHO-466,14,316.78,11.64,-2323.4,-3918.8,-1595.4,40.71,UPI,9,1,3,Partner,Q1,Jan,2021
ORD-12970,2021-01-10,North,Delhi,New Delhi,CUST-8660,Customer 154,B2C,REP-24,Rep Name 1,Manager 4,Furniture,Desks,Wooden Classic,FUR-DES-325,6,$828.04,1.64,2439.59,4886.58,2446.99,50.08,Bank Transfer,14,0,3,Partner,Q1,Jan,2021
ORD-13545,2021-01-10,Central,Chhattisgarh,Raipur,CUST-5250,Customer 70,B2C,REP-12,Rep Name 6,Manager 2,Electronics,Phones,X-Phone 12,ELE-PHO-167,15,1488.07,12.33,13331.23,19568.91,6237.68,31.88,UPI,3,,4,Online,Q1,Jan,2021
ORD-14799,2021-01-10,North,Punjab,Ludhiana,CUST-1471,Customer 372,B2C,REP-48,Rep Name 35,Manager 5,Electronics,Laptops,GamerZ 15,ELE-LAP-852,8,907.61,8.97,3762.7,6609.8,2847.11,43.07,UPI,5,0,4,Online,Q1,Jan,2021
ORD-3516,2021-01-11,Central,Madhya Pradesh,Indore,CUST-1051,Customer 471,Enterprise,REP-27,Rep Name 38,Manager 4,Office Supplies,Binders,Ring Binder Set,OFF-BIN-920,167,164.05,21.46,18872.03,21516.02,2644,12.29,Cash,3,0,4,Online,Q1,Jan,2021
ORD-6786,2021-01-11,South,Tamil Nadu,Chennai,CUST-4821,Customer 306,Enterprise,REP-21,Rep Name 39,Manager 2,Electronics,Phones,S-Galaxy 22,ELE-PHO-748,48,354.25,28.46,10684.17,12164.58,1480.41,12.17,UPI,13,0,3,Offline,Q1,Jan,2021
ORD-7268,2021-01-11,West,Maharashtra,Mumbai,CUST-4363,Customer 7,Enterprise,REP-40,Rep Name 30,Manager 3,Electronics,Phones,X-Phone 12,ELE-PHO-864,36,289.66,25.17,4757.84,7802.88,3045.04,39.02,UPI,,0,4,Partner,Q1,Jan,2021
ORD-8143,2021-01-11,North,Punjab,Ludhiana,CUST-5889,Customer 363,B2B,REP-11,Rep Name 11,Manager 4,Furniture,Desks,Corner L-Desk,FUR-DES-109,11,638.3,12.68,4802.64,6130.7,1328.05,21.66,Cash,4,,3,Online,Q1,Jan,2021
ORD-3144,2021-01-12,North,Delhi,New Delhi,CUST-8942,Customer 107,B2B,REP-37,Rep Name 9,Manager 1,Furniture,Chairs,Office Standard,FUR-CHA-591,6,700.04,11.99,1991.36,3696.81,1705.46,46.13,Credit Card,5,0,3,Online,Q1,Jan,2021
ORD-12115,2021-01-12,East,Odisha,Bhubaneswar,CUST-6598,Customer 116,B2B,REP-36,Rep Name 12,Manager 2,Furniture,Desks,Corner L-Desk,FUR-DES-294,1,928.44,3.1,520.97,899.69,378.72,42.09,UPI,2,0,5,Partner,Q1,Jan,2021
ORD-15280,2021-01-12,East,Odisha,Bhubaneswar,CUST-7433,Customer 400,B2C,REP-41,Rep Name 27,Manager 1,Furniture,Chairs,Exec Leather,FUR-CHA-109,7,1030.76,14.68,4368.22,6156.43,1788.21,29.05,Credit Card,5,0,4,Online,Q1,Jan,2021
ORD-4088,2021-01-13,West,Gujarat,Ahmedabad,CUST-8317,Customer 223,Enterprise,REP-28,Rep Name 19,Manager 1,Office Supplies,Binders,Archive Box Pack,OFF-BIN-235,198,353.3,28.45,34247.58,50051.05,15803.47,31.57,Credit Card,11,0,4,Offline,Q1,Jan,2021
ORD-6975,2021-01-13,North,Punjab,Ludhiana,CUST-2358,Customer 149,B2B,REP-35,Rep Name 6,Manager 2,Office Supplies,Paper,A4 Ream Premium,OFF-PAP-408,6,314.69,3.02,996.37,1831.12,834.75,45.59,UPI,10,,1,Offline,Q1,Jan,2021
ORD-8688,2021-01-13,West,Maharashtra,Mumbai,CUST-5719,Customer 318,Enterprise,REP-41,Rep Name 6,Manager 4,Office Supplies,Binders,Ring Binder Set,OFF-BIN-763,106,1206.59,19.13,70427.76,103426.52,32998.76,31.91,UPI,1,0,5,Offline,Q1,Jan,2021
ORD-10092,2021-01-13,East,West Bengal,Kolkata,CUST-7428,Customer 209,Enterprise,REP-15,Rep Name 24,Manager 3,Furniture,Desks,Standing Pro,FUR-DES-647,76,964.02,10.83,50447.47,65327.85,14880.38,22.78,Credit Card,10,0,5,,Q1,Jan,2021
ORD-13099,2021-01-13,North,Punjab,Ludhiana,CUST-2912,Customer 117,B2C,REP-16,Rep Name 16,Manager 2,Electronics,Laptops,UltraSlim 13,ELE-LAP-886,13,794.23,18.7,-7095.25,-8393.96,-1298.7099999999991,15.47,UPI,10,1,4,Offline,Q1,Jan,2021
ORD-14972,2021-01-13,West,Maharashtra,Mumbai,CUST-1535,Customer 421,Enterprise,REP-33,Rep Name 18,Manager 3,Office Supplies,Paper,Legal Size Ream,OFF-PAP-366,99,825.84,14.54,55350.07,69867.3,14517.23,20.78,Cash,3,0,4,Online,Q1,Jan,2021
ORD-8597,2021-01-14,East,Odisha,Bhubaneswar,CUST-2329,Customer 466,Enterprise,REP-17,Rep Name 3,Manager 5,Office Supplies,Paper,Legal Size Ream,OFF-PAP-536,124,440.43,28.47,31373.71,39064.72,7691.01,19.69,Cash,7,0,4,Offline,Q1,Jan,2021
ORD-9931,2021-01-14,West,Maharashtra,Mumbai,CUST-8241,Customer 165,,REP-42,Rep Name 24,Manager 1,Furniture,Desks,Wooden Classic,FUR-DES-128,184,635.4,25.72,75475.18,86840.56,11365.38,13.09,Bank Transfer,1,0,4,Offline,Q1,Jan,2021
ORD-10295,2021-01-14,East,West Bengal,Kolkata,CUST-2459,Customer 146,B2B,REP-23,Rep Name 23,Manager 1,Furniture,Chairs,Exec Leather,FUR-CHA-497,14,581.51,14.64,5250.97,6949.43,1698.46,24.44,Credit Card,12,0,5,Offline,Q1,Jan,2021
ORD-4747,2021-01-15,Central,Chhattisgarh,Raipur,CUST-3697,Customer 267,Enterprise,REP-26,Rep Name 18,Manager 4,Furniture,Chairs,Office Standard,FUR-CHA-619,43,564.6,13.59,15789.62,20979.42,5189.79,24.74,UPI,8,0,3,Partner,Q1,Jan,2021
ORD-8670,2021-01-15,South,Karnataka,Bangalore,CUST-3095,Customer 431,B2B,REP-15,Rep Name 18,Manager 5,Electronics,Phones,X-Phone 12,ELE-PHO-459,13,651.03,14.37,5673.84,7247.32,1573.48,21.71,Cash,1,0,3,Online,Q1,Jan,2021
ORD-10548,2021-01-16,South,Karnataka,Bangalore,CUST-1039,Customer 29,Enterprise,REP-39,Rep Name 27,Manager 5,Office Supplies,Binders,Archive Box Pack,OFF-BIN-103,77,1388.88,27.31,70568.27,77740.86,7172.59,9.23,Bank Transfer,2,0,5,Online,Q1,Jan,2021
ORD-10840,2021-01-16,South,Tamil Nadu,Chennai,CUST-6118,Customer 399,B2C,REP-50,Rep Name 40,Manager 3,Office Supplies,Paper,A4 Ream Premium,OFF-PAP-592,8,1036.48,12.31,5785.19,7271.29,1486.11,20.44,Bank Transfer,8,0,4,Offline,Q1,Jan,2021
ORD-15319,2021-01-16,West,Maharashtra,Mumbai,CUST-3040,Customer 53,B2B,REP-18,Rep Name 31,Manager 2,Office Supplies,Paper,Legal Size Ream,OFF-PAP-216,2,454.94,1.95,408.81,892.18,483.38,54.18,Credit Card,2,0,5,Online,Q1,Jan,2021
ORD-3088,2021-01-17,South,Tamil Nadu,Chennai,CUST-1732,Customer 341,Enterprise,REP-25,Rep Name 12,Manager 1,Office Supplies,Paper,Legal Size Ream,OFF-PAP-914,181,713.58,27.76,57250.59,93303.05,36052.45,38.64,Bank Transfer,6,0,5,,Q1,Jan,2021
ORD-6725,2021-01-17,North,Punjab,Ludhiana,CUST-1152,Customer 274,B2B,REP-22,Rep Name 13,Manager 1,Electronics,Phones,V-Smart,ELE-PHO-275,13,278.09,4.07,2281.02,3467.86,1186.84,34.22,UPI,2,,2,Online,Q1,Jan,2021
ORD-3088,2021-01-17,South,Tamil Nadu,Chennai,CUST-1732,Customer 341,Enterprise,REP-25,Rep Name 12,Manager 1,Office Supplies,Paper,Legal Size Ream,OFF-PAP-914,181,690.36,27.76,57250.59,91330.02,34079.43,38.64,Bank Transfer,6,0,5,Offline,Q1,Jan,2021
ORD-4203,2021-01-18,Central,Madhya Pradesh,Indore,CUST-5995,Customer 130,B2B,REP-36,Rep Name 26,Manager 2,Electronics,Laptops,UltraSlim 13,ELE-LAP-402,12,736.92,12.8,4866.54,7710.68,2844.14,36.89,Bank Transfer,7,0,4,Offline,Q1,Jan,2021
ORD-5879,2021-01-18,South,Tamil Nadu,Chennai,CUST-6113,Customer 383,B2B,REP-33,Rep Name 26,Manager 5,Office Supplies,Binders,Archive Box Pack,OFF-BIN-790,12,1085.63,0.97,7633.01,12901.47,5268.46,40.84,Bank Transfer,9,0,4,Partner,Q1,Jan,2021
ORD-6424,2021-01-18,East,Odisha,Bhubaneswar,CUST-3931,Customer 456,B2B,REP-28,Rep Name 17,Manager 2,Office Supplies,Paper,Legal Size Ream,OFF-PAP-263,14,206.33,6.99,1279.03,2686.6,1407.57,52.39,UPI,1,0,3,Online,Q1,Jan,2021
ORD-10187,2021-01-18,South,Tamil Nadu,Chennai,CUST-7808,Customer 275,Enterprise,REP-47,Rep Name 38,Manager 2,Furniture,Chairs,Ergo Deluxe,FUR-CHA-235,196,476.42,10.35,50474.25,83710.21,33235.96,39.7,Cash,4,0,4,Partner,Q1,Jan,2021
ORD-3631,2021-01-19,North,Delhi,New Delhi,CUST-7487,Customer 9,Enterprise,REP-33,Rep Name 27,Manager 5,Electronics,Phones,X-Phone 12,ELE-PHO-597,92,636.92,26.98,32356.02,42787.59,10431.57,24.38,Cash,2,0,1,Offline,Q1,Jan,2021
ORD-8727,2021-01-19,East,West Bengal,Kolkata,CUST-7078,Customer 359,B2C,REP-18,Rep Name 19,Manager 5,Electronics,Laptops,ProBook X1,ELE-LAP-815,15,537.5,2.14,3531.62,7889.86,4358.24,55.24,Credit Card,5,1,5,Online,Q1,Jan,2021
ORD-10780,2021-01-19,South,Karnataka,Bangalore,CUST-3994,Customer 155,B2C,REP-46,Rep Name 13,Manager 5,Furniture,Chairs,Office Standard,FUR-CHA-243,12,1315.69,9.44,9670.97,14298.09,4627.12,32.36,Cash,2,0,3,Online,Q1,Jan,2021
ORD-11286,2021-01-19,East,West Bengal,Kolkata,CUST-7246,Customer 183,B2C,REP-43,Rep Name 30,Manager 3,Furniture,Chairs,Exec Leather,FUR-CHA-927,1,850.29,2.66,414.12,827.69,413.57,49.97,UPI,5,0,3,Online,Q1,Jan,2021
ORD-12638,2021-01-19,East,West Bengal,Kolkata,CUST-3488,Customer 269,Enterprise,REP-43,Rep Name 36,Manager 4,Furniture,Desks,Corner L-Desk,FUR-DES-473,192,57.14,11.65,5649.69,9693.74,4044.05,41.72,Credit Card,10,0,5,Partner,Q1,Jan,2021
ORD-8068,2021-01-20,North,Punjab,Ludhiana,CUST-3520,Customer 102,B2B,REP-21,Rep Name 23,Manager 2,Electronics,Laptops,UltraSlim 13,ELE-LAP-800,10,301.01,7.87,2034.61,2773.05,738.44,26.63,Bank Transfer,1,0,3,Offline,Q1,Jan,2021
ORD-8201,2021-01-20,North,Delhi,New Delhi,CUST-4220,Customer 330,B2B,REP-34,Rep Name 40,Manager 5,Electronics,Phones,S-Galaxy 22,ELE-PHO-495,4,649.26,12.81,1725.36,2264.46,539.1,23.81,Credit Card,2,0,5,Partner,Q1,Jan,2021
ORD-1958,2021-01-21,South,Karnataka,Bangalore,CUST-7772,Customer 30,B2B,REP-12,Rep Name 34,Manager 3,Office Supplies,Binders,Ring Binder Set,OFF-BIN-979,2,1089.49,10.18,1110.06,1957.23,847.17,43.28,Cash,4,0,4,Partner,Q1,Jan,2021
ORD-1967,2021-01-21,South,Tamil Nadu,Chennai,CUST-2594,Customer 382,Enterprise,REP-41,Rep Name 18,Manager 4,Electronics,Laptops,ProBook X1,ELE-LAP-322,56,983.19,22.92,34676.91,42440.33,7763.41,18.29,Credit Card,14,0,5,Partner,Q1,Jan,2021
ORD-3969,2021-01-21,North,Delhi,New Delhi,CUST-2473,Customer 177,Enterprise,REP-33,Rep Name 12,Manager 3,Office Supplies,Paper,A4 Ream Premium,OFF-PAP-444,182,1485.87,17.8,139595.78,222288.68,82692.9,37.2,UPI,3,1,4,Online,Q1,Jan,2021
ORD-10525,"Jan 21, 2021",South,Tamil Nadu,Chennai,CUST-7226,Customer 16,B2C,REP-22,Rep Name 21,Manager 3,Office Supplies,Binders,Ring Binder Set,OFF-BIN-171,4,155.31,14.35,389.47,532.12,142.65,26.81,Cash,2,0,1,Online,Q1,Jan,2021
ORD-1032,2021-01-22,East,Odisha,Bhubaneswar,CUST-2843,Customer 20,B2B,REP-23,Rep Name 2,Manager 5,Office Supplies,Binders,Archive Box Pack,OFF-BIN-476,14,1081.57,20,9766.98,12114.33,2347.34,19.38,Cash,5,0,2,Offline,Q1,Jan,2021
ORD-4653,2021-01-22,North,Delhi,New Delhi,CUST-5887,Customer 318,B2C,REP-21,Rep Name 35,Manager 5,Office Supplies,Paper,Legal Size Ream,OFF-PAP-128,11,1292.95,18.46,8019.18,11596.78,3577.6,30.85,Cash,4,0,4,Offline,Q1,Jan,2021
ORD-5652,2021-01-22,North,Punjab,Ludhiana,CUST-8496,Customer 89,B2C,REP-48,Rep Name 16,Manager 3,Electronics,Laptops,GamerZ 15,ELE-LAP-223,15,1418.1,12.13,13279.86,18692.15,5412.29,28.95,Bank Transfer,13,0,3,Offline,Q1,Jan,2021
ORD-8459,2021-01-22,East,Odisha,Bhubaneswar,CUST-1612,Customer 275,B2B,REP-36,Rep Name 23,Manager 5,Furniture,Desks,Corner L-Desk,FUR-DES-319,10,334.34,11.21,1961.19,2968.51,1007.32,33.93,UPI,12,0,5,Partner,Q1,Jan,2021
ORD-10237,2021-01-22,East,West Bengal,Kolkata,CUST-3371,Customer 335,B2C,REP-28,Rep Name 33,Manager 4,Furniture,Chairs,Exec Leather,FUR-CHA-764,8,1057.29,15.22,3522.66,7170.96,3648.31,50.88,Cash,5,0,4,Online,Q1,Jan,2021
ORD-11326,2021-01-22,Central,Chhattisgarh,Raipur,CUST-4137,Customer 474,B2C,REP-41,Rep Name 13,Manager 2,Furniture,Chairs,Exec Leather,FUR-CHA-915,12,221.93,0.75,1803.39,2643.14,839.75,31.77,Credit Card,7,0,2,Offline,Q1,Jan,2021
ORD-13760,2021-01-22,Central,Madhya Pradesh,Indore,CUST-5580,Customer 402,B2C,REP-16,Rep Name 23,Manager 2,Electronics,Laptops,UltraSlim 13,ELE-LAP-932,13,855.85,9.45,5737.3,10074.81,4337.52,43.05,Cash,12,0,4,Partner,Q1,Jan,2021
ORD-4089,2021-01-23,South,Karnataka,Bangalore,CUST-7453,Customer 92,B2C,REP-41,Rep Name 12,Manager 4,Electronics,Laptops,ProBook X1,ELE-LAP-550,11,204.72,19.76,958.52,1806.94,848.43,46.95,Cash,11,0,5,Partner,Q1,Jan,2021
ORD-7820,2021-01-23,North,Punjab,Ludhiana,CUST-3187,Customer 295,B2B,REP-24,Rep Name 22,Manager 1,Electronics,Phones,X-Phone 12,ELE-PHO-871,9,131.11,2.12,563.23,1155.03,591.79,51.24,UPI,2,0,5,Online,Q1,Jan,2021
ORD-8646,2021-01-23,North,Delhi,New Delhi,CUST-7699,Customer 291,Enterprise,REP-19,Rep Name 16,Manager 4,Electronics,Phones,V-Smart,ELE-PHO-287,54,289.27,26.97,8905.32,11407.07,2501.76,21.93,Bank Transfer,1,0,4,Partner,Q1,Jan,2021
ORD-3098,2021-01-24,Central,Madhya Pradesh,Indore,CUST-1936,Customer 136,B2C,REP-40,Rep Name 28,Manager 3,Furniture,Chairs,Exec Leather,FUR-CHA-146,2,447.84,9.63,397.71,809.45,411.74,50.87,UPI,9,0,4,Partner,Q1,Jan,2021
ORD-5902,2021-01-24,South,Tamil Nadu,Chennai,CUST-8203,Customer 264,B2C,REP-49,Rep Name 10,Manager 1,Office Supplies,Binders,Archive Box Pack,OFF-BIN-435,1,835.9,6.4,463.84,782.4,318.57,40.72,Cash,1,0,4,Offline,Q1,Jan,2021
ORD-14548,2021-01-24,West,Maharashtra,Mumbai,CUST-8873,Customer 120,B2C,REP-27,Rep Name 19,Manager 3,Electronics,Laptops,ProBook X1,ELE-LAP-523,4,387.63,10.23,-889,-1391.86,-502.8599999999999,36.13,Cash,2,1,3,Online,Q1,Jan,2021
ORD-3888,2021-01-25,Central,Madhya Pradesh,Indore,CUST-2940,Customer 290,Enterprise,REP-30,Rep Name 8,Manager 5,Furniture,Desks,Wooden Classic,FUR-DES-556,180,1159.08,13.85,94250.13,179741.11,85490.98,47.56,Bank Transfer,14,0,3,Partner,Q1,Jan,2021
ORD-9485,2021-01-25,Central,Madhya Pradesh,Indore,CUST-4194,Customer 485,Enterprise,REP-24,Rep Name 4,Manager 4,Furniture,Desks,Corner L-Desk,FUR-DES-163,190,865.02,23.46,85617.27,125798.4,40181.14,31.94,UPI,4,0,5,Offline,Q1,Jan,2021
ORD-12329,2021-01-25,North,Punjab,Ludhiana,CUST-3051,Customer 190,Enterprise,REP-48,Rep Name 17,Manager 5,Furniture,Desks,Corner L-Desk,FUR-DES-728,121,1450.04,17.03,93991.8,145573.47,51581.67,35.43,Credit Card,9,0,5,,Q1,Jan,2021
ORD-7875,2021-01-26,North,Punjab,Ludhiana,CUST-7324,Customer 40,Enterprise,REP-14,Rep Name 14,Manager 4,Office Supplies,Paper,Legal Size Ream,OFF-PAP-612,159,145.1,26.54,12301.83,16947.85,4646.01,27.41,Credit Card,9,0,4,Partner,Q1,Jan,2021
ORD-8720,2021-01-26,South,Karnataka,Bangalore,CUST-2125,Customer 386,B2B,REP-13,Rep Name 3,Manager 1,Office Supplies,Paper,Legal Size Ream,OFF-PAP-336,14,479.04,18.78,3766.07,5446.9,1680.83,30.86,Credit Card,2,0,3,Online,Q1,Jan,2021
